GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,500747,2746626,google.com,com,1,1,500731,2748699
2,2,facebook.com,com,499930,2923245,facebook.com,com,2,2,499732,2924204
3,3,youtube.com,com,456194,2419085,youtube.com,com,3,3,456008,2420326
4,4,twitter.com,com,443561,2336378,twitter.com,com,4,4,443439,2337121
5,5,instagram.com,com,363101,1786588,instagram.com,com,5,5,362855,1785765
6,6,linkedin.com,com,348779,1541006,linkedin.com,com,6,6,348506,1541002
7,7,microsoft.com,com,308084,1041943,microsoft.com,com,7,7,308184,1043757
8,8,apple.com,com,298893,1039628,apple.com,com,8,8,298748,1040111
9,1,wikipedia.org,org,290176,1123574,wikipedia.org,org,9,1,289792,1123389
10,9,googletagmanager.com,com,250320,888612,googletagmanager.com,com,10,9,250172,888796
11,1,youtu.be,be,248423,883205,youtu.be,be,11,1,248183,883117
12,10,plus.google.com,com,244402,1016833,plus.google.com,com,12,10,244487,1017194
13,2,en.wikipedia.org,org,243263,838979,en.wikipedia.org,org,13,2,242952,838729
14,11,pinterest.com,com,232462,986986,pinterest.com,com,14,11,232172,986806
15,12,vimeo.com,com,228867,881314,vimeo.com,com,15,12,228730,881850
16,13,play.google.com,com,228584,694420,play.google.com,com,16,13,228308,694456
17,14,maps.google.com,com,216590,787567,maps.google.com,com,17,14,216350,787773
18,15,adobe.com,com,215956,639039,adobe.com,com,18,15,215897,639861
19,1,goo.gl,gl,212323,726798,goo.gl,gl,19,1,212196,726678
20,16,itunes.apple.com,com,207934,587023,itunes.apple.com,com,20,16,207765,587408
21,17,wordpress.com,com,205843,710774,wordpress.com,com,21,17,205444,710295
22,1,bit.ly,ly,203161,654806,bit.ly,ly,22,1,203080,655046
23,18,github.com,com,200160,555381,github.com,com,23,18,199966,555884
24,3,wordpress.org,org,197631,801088,wordpress.org,org,24,3,197397,801105
25,19,blogspot.com,com,194619,658429,blogspot.com,com,25,19,194361,658063
26,20,player.vimeo.com,com,191875,701863,player.vimeo.com,com,26,20,191728,702309
27,21,docs.google.com,com,191027,593630,docs.google.com,com,27,21,190932,593682
28,22,amazon.com,com,186811,594878,amazon.com,com,28,22,186645,594732
29,4,mozilla.org,org,169491,506801,mozilla.org,org,29,4,171014,511883
30,23,yahoo.com,com,169328,474090,yahoo.com,com,30,23,169237,474370
31,24,tumblr.com,com,162413,560162,tumblr.com,com,31,24,162252,560034
32,25,drive.google.com,com,158109,462503,drive.google.com,com,32,25,158076,462726
33,26,support.google.com,com,151969,512111,support.google.com,com,33,26,151700,511944
34,27,flickr.com,com,146868,443227,flickr.com,com,34,27,146667,443470
35,1,europa.eu,eu,144229,482328,europa.eu,eu,35,1,144171,482858
36,28,gravatar.com,com,142805,488953,gravatar.com,com,36,28,142433,488058
37,29,apps.apple.com,com,141307,339463,apps.apple.com,com,37,29,140997,339373
38,30,reddit.com,com,135759,437597,reddit.com,com,38,30,135401,437456
39,31,nytimes.com,com,135271,386574,nytimes.com,com,39,31,135296,388395
40,32,go.microsoft.com,com,133423,357502,go.microsoft.com,com,40,32,133475,359019
41,5,apache.org,org,132945,276027,apache.org,org,41,5,132863,276220
42,33,whatsapp.com,com,132364,471891,whatsapp.com,com,42,33,132106,471527
43,34,qq.com,com,130598,956673,qq.com,com,43,34,130471,958325
44,35,sites.google.com,com,130318,337892,sites.google.com,com,44,35,130110,338001
45,36,amazonaws.com,com,130109,313477,amazonaws.com,com,45,36,130032,313484
46,1,nih.gov,gov,128738,350090,nih.gov,gov,46,1,128607,350065
47,6,w3.org,org,128606,294219,w3.org,org,47,6,128567,294513
48,37,soundcloud.com,com,127822,396959,soundcloud.com,com,48,37,127680,396872
49,38,support.microsoft.com,com,127107,329313,support.microsoft.com,com,49,38,126669,328386
50,1,t.co,co,123778,365730,t.co,co,50,1,123603,366007
51,39,forbes.com,com,121253,322307,forbes.com,com,51,39,121029,322254
52,40,medium.com,com,119924,313594,medium.com,com,52,40,119621,313464
53,1,github.io,io,118925,275298,github.io,io,54,1,118522,274923
54,1,sourceforge.net,net,118686,258015,sourceforge.net,net,53,1,118657,258153
55,41,baidu.com,com,116809,634706,baidu.com,com,55,41,116757,635845
56,42,theguardian.com,com,115455,316498,theguardian.com,com,56,42,115198,316377
